respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.14285714285714285,0.7142857142857142
26708,0,0.2857142857142857
26709,0.14285714285714285,0.7142857142857142
26710,0,0.2857142857142857
26711,0.14285714285714285,0.42857142857142855
26712,0.14285714285714285,0.7142857142857142
26713,0.14285714285714285,0.7142857142857142
26714,0.14285714285714285,0.7142857142857142
26715,0,0.2857142857142857
26716,0.14285714285714285,0.7142857142857142
26717,0.14285714285714285,0.42857142857142855
26718,0,0.2857142857142857
26719,0.14285714285714285,0.7142857142857142
26720,0,0.2857142857142857
26721,0,0.2857142857142857
26722,0.14285714285714285,0.7142857142857142
26723,0.14285714285714285,0.42857142857142855
26724,0.14285714285714285,0.7142857142857142
26725,0.14285714285714285,0.42857142857142855
26726,0.14285714285714285,0.7142857142857142
26727,0.14285714285714285,0.7142857142857142
26728,0.14285714285714285,0.7142857142857142
26729,0.14285714285714285,0.7142857142857142
26730,0.14285714285714285,0.42857142857142855
26731,0.2857142857142857,0.42857142857142855
26732,0.2857142857142857,0.42857142857142855
26733,0,0.2857142857142857
26734,0.14285714285714285,0.7142857142857142
26735,0.14285714285714285,0.7142857142857142
26736,0.14285714285714285,0.7142857142857142
26737,0,0.2857142857142857
26738,0.14285714285714285,0.7142857142857142
26739,0,0.2857142857142857
26740,0,0.2857142857142857
26741,0.14285714285714285,0.7142857142857142
26742,0,0.2857142857142857
26743,0,0.2857142857142857
26744,0,0.2857142857142857
26745,0.14285714285714285,0.7142857142857142
26746,0.14285714285714285,0.42857142857142855
26747,0.14285714285714285,0.7142857142857142
26748,0,0.2857142857142857
26749,0,0.2857142857142857
26750,0.14285714285714285,0.7142857142857142
26751,0.14285714285714285,0.7142857142857142
26752,0.14285714285714285,0.42857142857142855
26753,0.14285714285714285,0.42857142857142855
26754,0,0.2857142857142857
26755,0,0.2857142857142857
26756,0.2857142857142857,0.42857142857142855
26757,0.2857142857142857,0.42857142857142855
26758,0.14285714285714285,0.42857142857142855
26759,0,0.2857142857142857
26760,0.14285714285714285,0.7142857142857142
26761,0.14285714285714285,0.7142857142857142
26762,0,0.2857142857142857
26763,0.14285714285714285,0.7142857142857142
26764,0.14285714285714285,0.7142857142857142
26765,0.14285714285714285,0.42857142857142855
26766,0,0.2857142857142857
26767,0.14285714285714285,0.7142857142857142
26768,0.14285714285714285,0.42857142857142855
26769,0.14285714285714285,0.7142857142857142
26770,0.14285714285714285,0.7142857142857142
26771,0.2857142857142857,0.42857142857142855
26772,0.2857142857142857,0.42857142857142855
26773,0.14285714285714285,0.7142857142857142
26774,0,0.2857142857142857
26775,0.14285714285714285,0.7142857142857142
26776,0.14285714285714285,0.7142857142857142
26777,0.14285714285714285,0.7142857142857142
26778,0.14285714285714285,0.7142857142857142
26779,0.14285714285714285,0.7142857142857142
26780,0.14285714285714285,0.7142857142857142
26781,0,0.2857142857142857
26782,0.14285714285714285,0.7142857142857142
26783,0.14285714285714285,0.7142857142857142
26784,0.14285714285714285,0.7142857142857142
26785,0.14285714285714285,0.7142857142857142
26786,0.14285714285714285,0.7142857142857142
26787,0.14285714285714285,0.42857142857142855
26788,0,0.2857142857142857
26789,0.14285714285714285,0.7142857142857142
26790,0.14285714285714285,0.7142857142857142
26791,0,0.2857142857142857
26792,0.14285714285714285,0.7142857142857142
26793,0.14285714285714285,0.7142857142857142
26794,0.14285714285714285,0.7142857142857142
26795,0,0.2857142857142857
26796,0.2857142857142857,0.42857142857142855
26797,0.14285714285714285,0.42857142857142855
26798,0,0.2857142857142857
26799,0.14285714285714285,0.42857142857142855
26800,0.14285714285714285,0.7142857142857142
26801,0,0.2857142857142857
26802,0,0.2857142857142857
26803,0.14285714285714285,0.7142857142857142
26804,0.2857142857142857,0.42857142857142855
26805,0.2857142857142857,0.42857142857142855
26806,0.14285714285714285,0.42857142857142855
26807,0.14285714285714285,0.42857142857142855
26808,0.14285714285714285,0.7142857142857142
26809,0,0.2857142857142857
26810,0,0.2857142857142857
26811,0.14285714285714285,0.7142857142857142
26812,0.14285714285714285,0.7142857142857142
26813,0.2857142857142857,0.42857142857142855
26814,0.14285714285714285,0.7142857142857142
26815,0,0.2857142857142857
26816,0.14285714285714285,0.42857142857142855
26817,0.14285714285714285,0.7142857142857142
26818,0.14285714285714285,0.42857142857142855
26819,0.14285714285714285,0.42857142857142855
26820,0.14285714285714285,0.42857142857142855
26821,0.14285714285714285,0.7142857142857142
26822,0,0.2857142857142857
26823,0.2857142857142857,0.42857142857142855
26824,0,0.2857142857142857
26825,0.2857142857142857,0.42857142857142855
26826,0.14285714285714285,0.7142857142857142
26827,0,0.2857142857142857
26828,0.14285714285714285,0.42857142857142855
26829,0.14285714285714285,0.7142857142857142
26830,0.2857142857142857,0.42857142857142855
26831,0.14285714285714285,0.42857142857142855
26832,0.14285714285714285,0.7142857142857142
